Period,Scenario,LoadLevel,Centrale_C_Cap_CTag,Contour_Global,Diesel_Bel_Air,Gas_Turbines,KPS_KarPowerShip,Kounoune_Power,Malicounda_Power,Manantali,Secondary_Plants,Tobene_Power
2022,sc01,01-02 17:00:00+01:00,9.557207056228783,68.4,265.79475307000007,29.6738022825,147.82832380785743,,,200.0,,
2022,sc01,01-02 18:00:00+01:00,0.8282718178293791,,265.79475307000007,29.6738022825,144.52999134654874,,,200.0,,
2022,sc01,01-02 19:00:00+01:00,,19.308380202968163,147.43000408211444,,266.0,,,200.0,,
2022,sc01,01-02 20:00:00+01:00,,24.58857153504898,153.8558599479377,29.6738022825,266.0,,,200.0,,
2022,sc01,01-02 21:00:00+01:00,,66.87001346695237,161.2813951951812,29.6738022825,266.0,,,200.0,,
2022,sc01,01-02 22:00:00+01:00,70.21591929794545,68.4,171.39604537724307,29.6738022825,266.0,,,200.0,,
2022,sc01,01-02 23:00:00+01:00,177.725446815,11.740401678260383,182.43249020726176,29.6738022825,266.0,,,200.0,,
2022,sc01,01-03 00:00:00+01:00,177.725446815,19.007409096460663,265.79475307000007,29.6738022825,188.91261745093234,1.7022977280966578,,200.0,,26.982527724143306
2022,sc01,01-03 01:00:00+01:00,129.97927568194513,68.4,265.79475307000007,29.6738022825,191.48219698425828,4.40710490094421,,200.0,0.30935224291912466,36.00788174588362
2022,sc01,01-03 02:00:00+01:00,130.80248550900322,68.4,265.79475307000007,29.6738022825,192.76698666011328,5.757955773794205,,200.0,0.5135926839430726,37.11941961450629
2022,sc01,01-03 03:00:00+01:00,177.725446815,22.300248521061473,265.79475307000007,29.6738022825,194.05177633596776,7.108806646644518,,200.0,0.7178331249670152,48.135334403128994
2022,sc01,01-03 04:00:00+01:00,128.33285591146065,68.4,265.79475307000007,29.6738022825,188.91261745093234,1.7022977280966578,,200.0,,42.435067904143324
2022,sc01,01-03 05:00:00+01:00,121.26116761243733,68.4,265.79475307000007,29.6738022825,176.06472051076818,,,200.0,,4.104374730130658
2022,sc01,01-03 06:00:00+01:00,66.22003944863847,68.4,265.79475307000007,29.6738022825,158.6319744756304,,,200.0,,
2022,sc01,01-03 07:00:00+01:00,4.175632901322112,68.4,147.88595199882872,29.6738022825,266.0,,,200.0,,
2022,sc01,01-03 08:00:00+01:00,,45.61458288365657,142.45546229563536,29.6738022825,266.0,,,200.0,,
2022,sc01,01-03 09:00:00+01:00,53.1215904805812,68.4,145.81828056651526,29.6738022825,266.0,,,200.0,,
2022,sc01,01-03 10:00:00+01:00,99.15587303362192,68.4,265.79475307000007,29.6738022825,150.67579798495774,,,200.0,,9.452165178567478
2022,sc01,01-03 11:00:00+01:00,98.39017806144476,68.4,265.79475307000007,29.6738022825,148.0682457168318,,,200.0,,17.110006867677164
2022,sc01,01-03 12:00:00+01:00,96.46303754317503,68.4,265.79475307000007,29.6738022825,144.1924933269888,,,200.0,,19.932414594299175
2022,sc01,01-03 13:00:00+01:00,102.7084116759476,68.4,147.66568730250364,29.6738022825,266.0,,3.8952329123261054,200.0,,28.022129595341923
2022,sc01,01-03 14:00:00+01:00,107.36832941508985,68.4,152.73325868891632,29.6738022825,266.0,,11.395877583674963,200.0,,24.469349061518223
2022,sc01,01-03 15:00:00+01:00,109.55100147921958,68.4,156.58762789809722,29.6738022825,266.0,,11.244395436015976,200.0,,13.904932419270988
2022,sc01,01-03 16:00:00+01:00,177.725446815,1.8623672977360894,153.80603403653876,,266.0,,,200.0,,
2022,sc01,01-03 17:00:00+01:00,4.017186606327938,68.4,265.79475307000007,29.6738022825,148.06271133946495,,,200.0,,
2022,sc01,01-03 18:00:00+01:00,0.7398395816507475,,144.32190814315916,29.6738022825,266.0,,,200.0,,
2022,sc01,01-03 19:00:00+01:00,,4.80234323518669,265.79475307000007,,148.23884256445712,,,200.0,,
2022,sc01,01-03 20:00:00+01:00,,7.451711354801979,154.57027004708902,29.6738022825,266.0,,,200.0,,
2022,sc01,01-03 21:00:00+01:00,19.704546795380946,68.4,265.79475307000007,,161.8433257986428,,,200.0,,
2022,sc01,01-03 22:00:00+01:00,65.31119434761297,68.4,265.79475307000007,29.6738022825,171.80442289062975,,,200.0,,
2022,sc01,01-03 23:00:00+01:00,177.725446815,3.119652302518136,182.78924561862257,29.6738022825,266.0,,,200.0,,
2022,sc01,01-04 00:00:00+01:00,177.725446815,19.007409096460663,265.79475307000007,29.6738022825,188.91261745093234,1.6641245950606773,,200.0,,13.249273412777013
2022,sc01,01-04 01:00:00+01:00,129.97927568194513,68.4,265.79475307000007,29.6738022825,191.48219698425828,4.368931767908209,,200.0,0.30935224291912466,30.200104574517287
2022,sc01,01-04 02:00:00+01:00,130.80248550900322,68.4,265.79475307000007,29.6738022825,192.76698666011328,5.71978264075821,,200.0,0.5135926839430726,40.39614241313999
2022,sc01,01-04 03:00:00+01:00,131.62569533606148,68.4,193.8465294059678,29.6738022825,266.0,7.070633513608531,,200.0,0.7178331249670152,50.8523018617627
2022,sc01,01-04 04:00:00+01:00,128.33285591146065,68.4,188.7073705209324,29.6738022825,266.0,1.6641245950606773,,200.0,,48.148372792777
