Region,Sector,Technology,Type,PathwayScenario,Year,Value
Dakar,Power,RES_PV_Utility_Opt,ResidualCapacity,BAU_BAU,2040,0.002
Diourbel,Power,RES_PV_Utility_Opt,ResidualCapacity,BAU_BAU,2040,0.03
Thies,Power,RES_PV_Utility_Opt,ResidualCapacity,BAU_BAU,2040,0.1245
LS,Power,RES_PV_Utility_Opt,ResidualCapacity,BAU_BAU,2040,0.025
FKK,Power,RES_PV_Utility_Opt,ResidualCapacity,BAU_BAU,2040,0.056
Thies,Power,RES_Wind_Onshore_Opt,ResidualCapacity,BAU_BAU,2040,0.1587
Dakar,Power,P_Gas_CCGT,TotalCapacity,BAU_BAU,2025,0.18224018381473758
Dakar,Power,P_Gas_CCGT,TotalCapacity,BAU_BAU,2030,0.4373764411553718
Dakar,Power,P_Gas_CCGT,TotalCapacity,BAU_BAU,2035,0.5102725146812674
Dakar,Power,P_Gas_CCGT,TotalCapacity,BAU_BAU,2040,0.5831685882071631
Dakar,Power,P_Gas_CCGT,TotalCapacity,BAU_BAU,2045,0.7289607352589538
Dakar,Power,P_Gas_CCGT,TotalCapacity,BAU_BAU,2050,0.8747528823107448
Dakar,Power,P_Oil,TotalCapacity,BAU_BAU,2022,0.9064999999999999
Dakar,Power,P_Oil,TotalCapacity,BAU_BAU,2025,0.5064999999999998
Dakar,Power,P_Oil,TotalCapacity,BAU_BAU,2030,0.5064999999999998
Dakar,Power,P_Oil,TotalCapacity,BAU_BAU,2035,0.5064999999999998
Dakar,Power,P_Oil,TotalCapacity,BAU_BAU,2040,0.29794721030843474
Dakar,Power,P_Oil,TotalCapacity,BAU_BAU,2045,0.41289335295670937
Dakar,Power,P_Oil,TotalCapacity,BAU_BAU,2050,0.6611674202713674
Dakar,Power,P_Coal_Hardcoal,TotalCapacity,BAU_BAU,2022,0.125
Dakar,Power,P_Coal_Hardcoal,TotalCapacity,BAU_BAU,2025,0.125
Dakar,Power,P_Coal_Hardcoal,TotalCapacity,BAU_BAU,2030,0.02209964415756058
Dakar,Power,P_Coal_Hardcoal,TotalCapacity,BAU_BAU,2035,0.022099644157560577
Dakar,Power,P_Coal_Hardcoal,TotalCapacity,BAU_BAU,2040,0.02209964415756058
Dakar,Power,P_Coal_Hardcoal,TotalCapacity,BAU_BAU,2045,0.02209964415756058
Dakar,Power,P_Coal_Hardcoal,TotalCapacity,BAU_BAU,2050,0.022099644157560577
Dakar,Power,RES_PV_Utility_Opt,TotalCapacity,BAU_BAU,2022,0.002
Dakar,Power,RES_PV_Utility_Opt,TotalCapacity,BAU_BAU,2025,0.03063185323929222
Dakar,Power,RES_PV_Utility_Opt,TotalCapacity,BAU_BAU,2030,0.10000021084941349
Dakar,Power,RES_PV_Utility_Opt,TotalCapacity,BAU_BAU,2035,0.8682166379259356
Dakar,Power,RES_PV_Utility_Opt,TotalCapacity,BAU_BAU,2040,1.537034931353779
