Timestep,Hydro|Reservoir_MTKK_0
1078,314224.1602599004982
1079,314128.22610529011581
1080,314082.28974526707316
1081,314082.58067369245691
1082,314091.46074130589841
1083,314100.34080891933991
1084,314109.2208765327814
1085,314118.1009441462229
1086,314126.9810117596644
1087,314135.86107937310589
1088,314144.74114698654739
1089,314153.62121459998889
1090,314162.50128221343039
1091,314171.38134982687188
1092,314180.26141744031338
1093,314189.14148505375488
1094,314198.02155266719637
1095,314206.90162028063787
1096,314215.78168789407937
1097,314224.66175550752087
1098,314233.54182312096236
1099,314219.1137746013701
1100,314142.76736156025436
1101,314051.00362523202784
1102,313974.4216498688329
1103,313918.24019243189832
1104,313895.79984531359514
1105,313904.0222562290146
1106,313912.24466714443406
1107,313920.46707805985352
1108,313928.68948897527298
1109,313936.91189989069244
1110,313945.1343108061119
1111,313953.35672172153136
1112,313961.57913263695082
1113,313969.80154355237028
1114,313978.02395446778974
1115,313986.24636538320919
1116,313994.46877629862865
1117,314002.69118721404811
1118,314010.91359812946757
1119,314019.13600904488703
1120,314027.35841996030649
1121,314035.58083087572595
1122,314043.80324179114541
1123,313978.57628931943327
1124,313890.16885905340314
1125,313799.60622301016701
1126,313728.49325307214167
1127,313662.27817492297618
1128,313629.77148818568094
1129,313637.49980515916832
1130,313645.2281221326557
1131,313652.95643910614308
1132,313660.68475607963046
1133,313668.41307305311784
1134,313676.14139002660522
1135,313683.8697070000926
1136,313691.59802397357998
1137,313699.32634094706737
1138,313707.05465792055475
1139,313714.78297489404213
1140,313722.51129186752951
1141,313730.23960884101689
1142,313737.96792581450427
1143,313745.69624278799165
1144,313753.42455976147903
1145,313761.15287673496641
1146,313762.77085490786703
1147,313570.49917188135441
1148,313378.22748885484179
1149,313185.95580582832918
1150,312993.68412280181656
1151,312801.41243977530394
1152,312629.96536359796301
1153,312541.00365370517829
1154,312520.78163008170668
1155,312528.26460324623622
1156,312535.74757641076576
1157,312543.2305495752953
1158,312550.71352273982484
1159,312558.19649590435438
1160,312559.54362095950637
1161,312567.02659412403591
1162,312574.50956728856545
1163,312581.99254045309499
1164,312589.47551361762453
1165,312596.95848678215407
1166,312604.44145994668361
1167,312611.92443311121315
1168,312619.40740627574269
1169,312626.89037944027223
1170,312594.96917853120249
1171,312402.45215169573203
1172,312209.93512486026157
1173,312017.41809802479111
1174,311833.39383953245124
1175,311709.13021743978607
1176,311551.38355690706521
1177,311468.84090287034633
1178,311433.94428355287528
1179,311434.49722296884283
1180,311441.75529807474231
1181,311449.01337318064179
1182,311435.89088009763509
1183,311416.96944874484325
1184,311394.68097641610075
1185,311387.4835560315405
1186,311394.74163113743998
1187,311401.99970624333946
1188,311409.25778134923894
1189,311416.51585645513842
1190,311423.7739315610379
1191,311431.03200666693738
1192,311438.29008177283686
1193,311445.54815687873634
1194,311452.80623198463582
1195,311275.09061120991828
1196,311082.34868631581776
1197,310889.60676142171724
1198,310696.86483652761672
1199,310504.1229116335162
1200,310355.72218145843362
1201,310290.59505930251908
1202,310292.71905069315108
1203,310299.85786217072746
1204,310306.99667364830384
1205,310314.13548512588022
1206,310298.99827636277769
1207,310267.13164694455918
1208,310237.47751889028586
1209,310225.55187875853153
1210,310232.69069023610791
1211,310239.82950171368429
1212,310246.96831319126068
1213,310254.10712466883706
1214,310261.24593614641344
1215,310268.38474762398982
1216,310275.52355910156621
1217,310282.66237057914259
1218,310221.99098471389152
1219,310029.1297961914679
1220,309836.26860766904429
1221,309643.40741914662067
1222,309450.54623062419705
1223,309257.68504210177343
1224,309082.06255878286902
1225,308959.66963183891494
1226,308886.05160052288556
1227,308834.0924081983394
1228,308810.79681674658787
1229,308794.47190820757532
1230,308741.90569602232426
1231,308685.5718876926112
1232,308637.50249699188862
1233,308629.09245523269055
1234,308635.95525492494926
1235,308642.81805461720796
1236,308649.68085430946667
1237,308656.54365400172537
1238,308663.40645369398408
1239,308670.26925338624278
1240,308677.13205307850149
